Agent ID,Net monthly income,Initial Reserve,Shock Rate,Mean Shock Size distribution,Ruin Probability
XLS0685965,466,284,607.4598997361571,194.999958275172,0.895051193120888
BQS1980873,568,681,5123.878156096386,65.35333640520693,0.8657073608473933
WMG2653382,300,751,350.4253040474827,480.43415683521295,0.7472538192799623
LUD3678809,361,584,49.66367522701863,67.36393049007857,0.01586887814420901
WLY4665240,629,82,339.36087264045557,35.93451002086845,0.23643349254699897
QEU5224286,972,825,811.9421437000012,413.26972768949224,0.41844507872118974
FCD6435875,147,516,157.097804195237,217.178698600868,0.4498008841978531
EAQ7059561,679,428,441.9377356221077,207.65061313956716,0.31577719354824507
RHK8033781,873,45,3690.765892696372,6.380623814541318,0.5994498854228157
NXA9148883,620,460,10.85021976729221,283.0674707551539,0.010769089294056733
JOP10227370,446,843,377.7620343901502,467.2224370072595,0.4694394308086806
WME11389064,364,759,996.5919081907176,110.7027845458378,0.3993307391614269
KGE12932258,380,108,4063.9183496617857,5.424899401727588,0.5371917208516079
HMM13770869,243,753,798.747692657198,146.53904864576216,0.6396784712452436
YGD14510335,272,546,377.1239597488536,26.803194731070214,0.06806269480513905
WOY15538553,778,944,2626.5355502905204,230.8882500491104,0.8257213695731607
CVF16715259,68,163,89.53642633145876,122.42988171666919,0.9889871964176976
XGF17049128,828,508,243.4637321490747,306.19729137274174,0.1772317683526032
AVO18849038,717,857,615.9498898615443,832.195620752707,0.8342012387051086
EEC19654217,895,613,251.48348370920579,581.3314906009643,0.26647091134578715
YFR20873770,805,831,1139.7147196496237,506.5393199803412,0.8630032200415657
QNT21266593,238,594,160.86465726418086,408.4849263741893,0.4648076541236462
JTW22373998,467,808,81.8431109438082,382.9479113941234,0.08306031864950303
RSZ23077866,42,157,96.73975299539369,63.80080308051875,0.9360136382949857
HHZ24235664,18,683,33.87983902505711,299.2010180015722,0.8245389886144852
MBN25383813,324,352,167.47461027957274,65.43580064803729,0.09608967462701545
UEA26293326,656,816,28.076698726714994,324.8888868886466,0.017040679169712303
XTN27917896,461,285,1033.5581500327505,28.312137495010028,0.2227213186651097
GYY28063989,315,651,5.281269618965034,129.28725809689053,0.0033296801907024554
YTD29454742,6,22,2.9848051733954213,14.573276812885966,0.32953327291231493
ZXD30749925,712,815,279.2887680018258,782.9911047665365,0.37685362412393075
GBJ31150784,942,687,928.9216382108323,437.0427560529209,0.6273290019390383
OVH32379295,25,39,15.451315905241582,28.23738894813882,0.44749211997627714
ZWE33302360,213,5,178.05720893353228,1.098985498494921,0.1837392399252885
WMP34920044,977,469,881.1690744153825,384.4868176609575,0.7393895267991564
KQD35412966,43,163,180.44078655512402,24.515771028171027,0.6311378238448425
YWP36029917,101,979,70.08649031983919,654.8160865674622,0.4641406295824737
PNL37939481,136,874,35750.27588691605,2.2681761767115107,0.6821907733003009
GCV38809997,422,494,477.26337800735513,151.89821918527468,0.3477534067658625
IDG39909817,530,782,663.0435319082109,490.62154519491156,0.7848850121997252
VTV40244621,220,706,146.26249668324914,124.240851032186,0.11699573179255186
WEE41279849,739,470,74.37307221687193,323.45824930472594,0.06926146239795972
SVJ42975421,85,910,901.296754151836,50.38099323077916,0.5870488127969862
XLR43193006,347,203,256.196463836221,57.9219439183011,0.21066420423316892
YGW44703685,521,888,36287.332026502336,11.832642295977085,0.9280814350109704
CBO45455752,993,252,3785.1953836040634,58.95548780331603,0.8917903110313365
QNI46913030,465,449,159.5185494088965,365.11881377085655,0.2789626818718972
CTF47187271,282,264,302.9918350638912,81.47507565911259,0.33159094516876075
CBY48759058,752,318,618.6762422326337,177.39333261093654,0.45893985187030784
HDV49013721,57,636,34.11579695857657,325.80243118229833,0.30660403814481696
YCL50242956,972,244,595.4284297829586,193.56448923061404,0.48595847620389304
XZY51917919,302,847,15.884932417288935,524.8348341944103,0.03259249971233591
RZZ52307784,881,219,469.99811718384825,86.78811402566633,0.21141526692892734
ELG53097530,860,180,1458.893091613445,100.5389185050153,0.947516367217403
ZFN54558258,728,467,127858.32035164956,1.3119671115972,0.49340515579165345
ONI55602891,189,887,248.96983802191758,598.5969374240078,0.8889878047450306
MBI56637621,856,55,560.9105556303606,37.98160655750157,0.4525124052230661
JSH57657874,619,489,328.3513915288095,360.27798100014076,0.39082026356444755
LMQ58961083,212,977,184.19833129211506,934.0659481300404,0.8306781877635655
CIF59199161,846,381,2368.5298350520675,43.994421093220716,0.32328170527707123
MDZ60638566,836,281,1402.1922117075196,114.55155939618227,0.6837478265604646
JTJ61180162,259,832,168.10014647497965,380.6675830313954,0.2969551736795276
HXS62869229,773,430,3202.0818492705384,57.39200941504875,0.5528864034450238
QQV63585504,110,238,303.68999821552376,63.750864826335615,0.7395148978360565
QQV64301015,387,1000,553.1799484260837,501.96943309772644,0.7175178943474696
TTF65012531,848,136,2323.5959473883736,35.166717615060335,0.7085290868939506
YJJ66779914,806,741,1478.336087821218,188.52960973631727,0.4666588402367672
OBS67121970,270,179,400.7361073984604,79.91070248460316,0.6625926723185671
HYX68643971,895,818,578.5088803102163,359.06800396832716,0.2837333582807792
NAW69074426,446,309,298.39601493328865,106.50558931780131,0.2306067846557922
WWH70387000,258,436,134.95088475318562,273.13760398128164,0.3276808309920986
EEL71068071,678,595,4892.50297589991,42.225175599406896,0.5121013293621738
VVA72682455,129,804,50.164347757463375,573.4695525645792,0.2773701845729345
HED73175596,845,461,865.9068437223937,346.6573744869231,0.7705733432467711
FTI74226638,706,401,246.4246669865571,335.16272891085475,0.2917365363438539
PYO75344534,722,717,511.6216162806096,366.28940383293764,0.36200693257816396
FVF76026058,944,982,1141.3663457797372,701.4735192162327,0.863679997679722
QSS77347911,381,835,375.32206821816976,203.21927606550318,0.23974941139674624
FCR78811300,938,336,13392.305170916015,22.208493129629115,0.9436964329442862
PGH79531750,766,113,369.835626365976,97.8857816153682,0.41823574200007896
WJR80641794,676,310,276.0905932496644,242.3911634228623,0.3193449136662264
HQZ81843738,137,673,146.4418104931361,487.6946555883941,0.7745999320201612
OBC82032755,14,86,66.84989295094044,14.354052057197858,0.7969824281029096
UKP83007279,446,436,50.6799900485255,292.00508867178917,0.07610366863457585
LFF84709700,489,426,815.3987914799577,239.0377630674901,0.9356601242513891
HBI85566657,985,969,492.96883551221697,874.5626841914008,0.45170032217867984
TTG86972317,97,679,33.114438073090824,543.6192679981093,0.27331956615189645
HWY87750618,82,45,364.7144597569829,8.24274411612605,0.8147013461322389
IGD88220618,628,475,1412.2383029951347,148.27540030461978,0.7019785440902465
ZLX89266248,277,218,75.37955848830958,134.05515326894738,0.16734041444202175
KHE90679764,189,746,198.34496311762678,457.91376458786556,0.6441755588765041
ZTP91854461,574,317,369.9277131369742,210.83689069150486,0.42863962462996186
ARM92516054,722,965,938.5129519290148,683.5333261688436,0.9207366981249256
MVP93963789,57,690,1.9869208433177437,242.18046257014254,0.012234767580090233
OZQ94957018,926,684,2051.32478113047,141.9811250319762,0.4598306875937448
WYK95846791,366,437,479.9034631284721,132.66474703659716,0.3980584933158625
JYJ96993870,459,649,725.8678162806743,365.7328303951695,0.891177279411234
HLN97039315,459,615,450.4591218039591,529.3347227332347,0.8446911962830298
QFW98874326,944,99,860.912255262493,85.43293508471247,0.7870041604335085
KAW99766055,436,361,366.09171638728844,213.26321699872778,0.4960348239684554
YCV100267286,680,404,463.11082391357496,347.79174336202294,0.5862919365853416
